Piano Sonata No.8 In C Minor, Op.13 -"Pathétique": 2. Adagio cantabile	Ludwig van Beethoven, Daniel Barenboim	Beethoven: The Piano Sonatas
Piano Sonata No.14 In C Sharp Minor, Op.27 No.2 -"Moonlight": 1. Adagio sostenuto	Ludwig van Beethoven, Daniel Barenboim	Beethoven: Piano Sonatas Nos.8 "Moonlight
Doin' Time	Lana Del Rey	Norman Fucking Rockwell!
Fuck it I love you	Lana Del Rey	Norman Fucking Rockwell!
Message In A Bottle	The Police	Reggatta De Blanc (Remastered 2003)
Norman fucking Rockwell	Lana Del Rey	Norman Fucking Rockwell!
bad guy (with Justin Bieber)	Billie Eilish, Justin Bieber	bad guy (with Justin Bieber)
Whitsand Bay	Metronomy	Metronomy Forever
Insecurity	Metronomy	Metronomy Forever
Mi Mandi Rose - 2001 Remaster	Mina	Finalmente ho conosciuto il Conte Dracula... (2001 Remastered Version)
Pigro	Ivan Graziani	Pigro
Splendida giornata	Vasco Rossi	Vado al massimo (Remastered)
Piano Sonata No.8 In C Minor, Op.13 -"Pathétique": 1. Grave - Allegro di molto e con brio	Ludwig van Beethoven, Daniel Barenboim	Beethoven: The Piano Sonatas
Piano Sonata No.8 In C Minor, Op.13 -"Pathétique": 3. Rondo (Allegro)	Ludwig van Beethoven, Daniel Barenboim	Beethoven: The Piano Sonatas
Ritratti	Pocaroba	Ritratti
Man in the Mirror	Michael Jackson	HIStory - PAST, PRESENT AND FUTURE - BOOK I
Addio a Napoli / Ma come fanno i marinai	Francesco De Gregori, Lucio Dalla	Banana Republic
Cantabile - Live	Michel Petrucciani, Steve Gadd, Anthony Jackson	Trio in Tokyo (Live)
September Second - Live	Michel Petrucciani, Steve Gadd, Anthony Jackson	Trio in Tokyo (Live)
Freed From Desire	Gala	Come Into My Life (The Album)
Lemon Tree	Fools Garden	Dish Of The Day
La cattiva strada	Fabrizio De André	Volume 8
Angie	The Rolling Stones	Goats Head Soup (Remastered 2009)
La donna cannone	Francesco De Gregori	La Donna Cannone
Cupido	Dolcenera, The André	Regina Elisabibbi
Volta la carta	Fabrizio De André	Rimini
Il testamento	Fabrizio De André	Fabrizio De André Opere Complete
Jesahel	Delirium	DOLCE ACQUA
Tommaso	Fulminacci	La Vita Veramente
X Colpa Di Chi?	Zucchero	SpiritoDiVino
