Have You Ever Seen The Rain	Creedence Clearwater Revival	Pendulum (40th Anniversary Edition)
Ain't No Mountain High Enough	Marvin Gaye, Tammi Terrell	United
Ain't No Sunshine	Bill Withers	Just As I Am
Lean on Me	Bill Withers	Still Bill
Dance Me to the End of Love	Leonard Cohen	Various Positions
Per una lira	Lucio Battisti	Lucio Battisti
Il mio canto libero	Lucio Battisti	Il mio canto libero
29 settembre	Lucio Battisti	Lucio Battisti
La collina dei ciliegi	Lucio Battisti	Il nostro caro angelo
Io vorrei... non vorrei... ma se vuoi	Lucio Battisti	Il mio canto libero
Innocenti evasioni	Lucio Battisti	Umanamente uomo: il sogno
Io vivrò senza te	Lucio Battisti	Lucio Battisti Vol. 4
Comunque bella	Lucio Battisti	Umanamente uomo: il sogno
Vento nel vento	Lucio Battisti	Il mio canto libero
Needles and Pins - 2002 Remaster	Ramones	Road to Ruin (Expanded 2005 Remaster)
Tropicana	Gruppo Italiano	Gruppo Italiano
Lugano addio	Ivan Graziani	I Lupi
L'appuntamento	Ornella Vanoni	Del Mio Meglio
Canary Bay	Indochine	Le Birthday album
I Disagree	Poppy	I Disagree
Rose viola	Ghemon	Rose viola
Ordinary People	John Legend	Get Lifted
Io ti venderei	Lucio Battisti	La batteria, il contrabbasso, eccetera
Luci-ah	Lucio Battisti	Il mio canto libero
La catedral	John Williams	Barrios - The Great Paraguayan
Sueño en la floresta	John Williams	Barrios - The Great Paraguayan
Vals No. 4	John Williams	Barrios - The Great Paraguayan
Vals No. 3	John Williams	Barrios - The Great Paraguayan
Concierto de Aranjuez: II. Adagio	Daniel Barenboim, John Williams, English Chamber Orchestra, James Brown	Rodrigo: Concierto de Aranjuez; Fantasía para un Gentilhombre & Villa-Lobos: Guitar Concerto - Sony Classical Originals
Tango en Skai	Roland Dyens, Elena Papandreou	Dyens: Guitar Music
Toxic	Britney Spears	In The Zone
