This Is America	Childish Gambino	This Is America
How Long Has This Been Going On?	George Gershwin, Ira Gershwin, Felicia Sanders	The Essential George Gershwin
How Long Has This Been Going On?	Oscar Peterson, Louis Armstrong	Milestones of Jazz Legends - Oscar Peterson & The Greatest Singers, Vol. 7
How Long Has This Been Going On?	Chet Baker	Chet Baker Sings: It Could Happen To You [Original Jazz Classics Remasters] (OJC Remaster)
Toxic	Britney Spears	In The Zone
Tango en Skai	Roland Dyens, Elena Papandreou	Dyens: Guitar Music
Concierto de Aranjuez: II. Adagio	Daniel Barenboim, John Williams, English Chamber Orchestra, James Brown	Rodrigo: Concierto de Aranjuez; Fantasía para un Gentilhombre & Villa-Lobos: Guitar Concerto - Sony Classical Originals
Vals No. 3	John Williams	Barrios - The Great Paraguayan
Vals No. 4	John Williams	Barrios - The Great Paraguayan
Sueño en la floresta	John Williams	Barrios - The Great Paraguayan
La catedral	John Williams	Barrios - The Great Paraguayan
Luci-ah	Lucio Battisti	Il mio canto libero
I Disagree	Poppy	I Disagree
Io ti venderei	Lucio Battisti	La batteria, il contrabbasso, eccetera
Ordinary People	John Legend	Get Lifted
Rose viola	Ghemon	Rose viola
Canary Bay	Indochine	Le Birthday album
Johnny B Goode - 2002 Remaster	Peter Tosh, John Benitez	Mama Africa
The André canta Rolls Royce (Achille Lauro Cover)	The André	Affinità Elettive
Troppo difficile	Paolo Conte	Aguaplano
In Too Deep	Sum 41	All Killer, No Filler
The André canta Orgasmo (Calcutta Cover)	The André	The André canta l'Indie
Bella senz'anima	Riccardo Cocciante	Anima
I Just Want To Make Love To You - Single Version	Etta James	At Last!
Moby Dick	Banco Del Mutuo Soccorso	Banco
One More Kiss, Dear	Vangelis	Blade Runner (Music From The Original Soundtrack)
Vita spericolata	Vasco Rossi	Bollicine (Remastered)
Boys Boys Boys	Sabrina	Boys Boys Boys
Certe notti	Ligabue	Buon compleanno Elvis [Remastered Version]
Carne para la Picadora	La Polla Records	Carne para la Picadora!
Che fantastica storia è la vita	Antonello Venditti	Che Fantastica Storia È La Vita
Quizas, Quizas, Quizas (Perhaps, Perhaps, Perhaps) - Remastered 2003	Nat King Cole	The Classic Singles
Congratulations	MGMT	Congratulations
Chelsea Dagger	The Fratellis	Costello Music
Tout le bonheur du monde	Sinsémilia	Debout les yeux ouverts
L'Empordà	Sopa De Cabra	Dies de Carretera
Harder, Better, Faster, Stronger	Daft Punk	Discovery
Son Of A Preacher Man	Dusty Springfield	Dusty In Memphis
Get It On	T. Rex	Electric Warrior
Cosmic Dancer - Remastered	T. Rex	Electric Warrior [Expanded & Remastered]
Me Falta el Aliento	Estopa	Esencial Estopa
Canto del servo pastore	Fabrizio De André	Fabrizio De André (Indiano)
Un chimico	Fabrizio De André	Fabrizio De André Opere Complete
Am I Your Woman? featuring Ria Currie	Speedometer, Ria Currie	Four Flights Up
I Was a Ye Ye Girl - Orginal Radio Mix	Doing Time	I Was a Ye Ye Girl
Abiura Di Me	Caparezza	Le Dimensioni Del Mio Caos
Volare (Nel Blu di Pinto di Blu)	Gipsy Kings	Mosaïque
I Like Chopin	Gazebo	Portrait
Take Your Mama	Scissor Sisters	Scissor Sisters
Ohio	Crosby, Stills, Nash & Young	So Far
Isn't She Lovely	Stevie Wonder	Songs In The Key Of Life (Reissue)
Cigarettes and Coffee	Otis Redding	The Soul Album
Seven Nation Army	Scott Bradlee's Postmodern Jukebox, Haley Reinhart	Swipe Right For Vintage
Lontano, lontano	Luigi Tenco	Tenco
Habibi	The André	THEMAGOGIA - Tradurre, tradire, trappare
Volare	Domenico Modugno	Volare
Bocca di rosa	Fabrizio De André	Volume 1
Young Folks	Peter Bjorn and John	Writer's Block
Lady Jane - Mono Version	The Rolling Stones	Aftermath
Anni	Paolo Conte	Aguaplano
